kode,string
161,Total PDRB Provinsi Banten yang berasal dari PDRB PRODUKSI adalah senilai 603234778.007077 rupiah
162,Total PDRB Provinsi Bengkulu yang berasal dari PDRB PENDAPATAN adalah senilai 54691894.110920 rupiah
163,Total PDRB Provinsi Bengkulu yang berasal dari PDRB PENGELUARAN adalah senilai 72110555.299894 rupiah
164,Total PDRB Provinsi Bengkulu yang berasal dari PDRB PRODUKSI adalah senilai 54691894.110920 rupiah
165,Total PDRB Provinsi DI Yogyakarta yang berasal dari PDRB PENDAPATAN adalah senilai 120302495.063850 rupiah
166,Total PDRB Provinsi DI Yogyakarta yang berasal dari PDRB PENGELUARAN adalah senilai 144695064.902796 rupiah
167,Total PDRB Provinsi DI Yogyakarta yang berasal dari PDRB PRODUKSI adalah senilai 120302495.063850 rupiah
168,Total PDRB Provinsi DKI Jakarta yang berasal dari PDRB PENDAPATAN adalah senilai 2150040705.760710 rupiah
169,Total PDRB Provinsi DKI Jakarta yang berasal dari PDRB PENGELUARAN adalah senilai 2369195277.719317 rupiah
170,Total PDRB Provinsi DKI Jakarta yang berasal dari PDRB PRODUKSI adalah senilai 2150040705.760710 rupiah
171,Total PDRB Provinsi Gorontalo yang berasal dari PDRB PENDAPATAN adalah senilai 29894860.318682 rupiah
172,Total PDRB Provinsi Gorontalo yang berasal dari PDRB PENGELUARAN adalah senilai 39659622.585393 rupiah
173,Total PDRB Provinsi Gorontalo yang berasal dari PDRB PRODUKSI adalah senilai 29894860.318682 rupiah
174,Total PDRB Provinsi Jambi yang berasal dari PDRB PENDAPATAN adalah senilai 140962317.556289 rupiah
175,Total PDRB Provinsi Jambi yang berasal dari PDRB PENGELUARAN adalah senilai 134438484.095720 rupiah
176,Total PDRB Provinsi Jambi yang berasal dari PDRB PRODUKSI adalah senilai 140962317.556289 rupiah
177,Total PDRB Provinsi Jawa Barat yang berasal dari PDRB PENDAPATAN adalah senilai 1869555173.204287 rupiah
178,Total PDRB Provinsi Jawa Barat yang berasal dari PDRB PENGELUARAN adalah senilai 1839438925.069466 rupiah
179,Total PDRB Provinsi Jawa Barat yang berasal dari PDRB PRODUKSI adalah senilai 1869555173.204288 rupiah
180,Total PDRB Provinsi Jawa Tengah yang berasal dari PDRB PENDAPATAN adalah senilai 1048914781.970289 rupiah
181,Total PDRB Provinsi Jawa Tengah yang berasal dari PDRB PENGELUARAN adalah senilai 1116303144.829137 rupiah
182,Total PDRB Provinsi Jawa Tengah yang berasal dari PDRB PRODUKSI adalah senilai 1048914781.970289 rupiah
183,Total PDRB Provinsi Jawa Timur yang berasal dari PDRB PENDAPATAN adalah senilai 1884107401.351742 rupiah
184,Total PDRB Provinsi Jawa Timur yang berasal dari PDRB PENGELUARAN adalah senilai 1684923809.078493 rupiah
185,Total PDRB Provinsi Jawa Timur yang berasal dari PDRB PRODUKSI adalah senilai 1884107401.351742 rupiah
186,Total PDRB Provinsi Kalimantan Barat yang berasal dari PDRB PENDAPATAN adalah senilai 131101211.389463 rupiah
187,Total PDRB Provinsi Aceh yang berasal dari kode komponen 2010 adalah senilai 58579962.977686 rupiah
188,Total PDRB Provinsi Aceh yang berasal dari kode komponen 2020 adalah senilai 75532741.548288 rupiah
189,Total PDRB Provinsi Aceh yang berasal dari kode komponen 2045 adalah senilai 441824.954110 rupiah
190,Total PDRB Provinsi Aceh yang berasal dari kode komponen 3011 adalah senilai 89035068.472911 rupiah
191,Total PDRB Provinsi Aceh yang berasal dari kode komponen 3012 adalah senilai 2739831.095564 rupiah
192,Total PDRB Provinsi Aceh yang berasal dari kode komponen 3020 adalah senilai 33109172.998218 rupiah
193,Total PDRB Provinsi Aceh yang berasal dari kode komponen 3030 adalah senilai 52792100.361510 rupiah
194,Total PDRB Provinsi Aceh yang berasal dari kode komponen 3041 adalah senilai 2852765.188235 rupiah
195,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-01 adalah senilai 5870077.532341 rupiah
196,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-02 adalah senilai 5883898.869500 rupiah
197,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-03 adalah senilai 10247247.968196 rupiah
198,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-04 adalah senilai 4150957.827013 rupiah
199,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-05 adalah senilai 726496.821323 rupiah
200,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-06 adalah senilai 1999586.610192 rupiah
201,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-07 adalah senilai 6732957.205807 rupiah
202,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-08 adalah senilai 2173681.361834 rupiah
203,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-09 adalah senilai 285164.805737 rupiah
204,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-10 adalah senilai 215655.124657 rupiah
205,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-11 adalah senilai 3408478.739481 rupiah
206,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-12 adalah senilai 0.000000 rupiah
207,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-13 adalah senilai 3681767.282545 rupiah
208,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-14 adalah senilai 48154.684150 rupiah
209,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-15 adalah senilai 651347.667528 rupiah
210,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-16 adalah senilai 23346.283554 rupiah
211,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-17 adalah senilai 365449.241489 rupiah
212,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-18 adalah senilai 82412.566532 rupiah
213,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-19 adalah senilai 1475274.952908 rupiah
214,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-20 adalah senilai 111570.010525 rupiah
215,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-21 adalah senilai 911459.837475 rupiah
216,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-22 adalah senilai 7230.916919 rupiah
217,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-23 adalah senilai 768401.297542 rupiah
218,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-24 adalah senilai 35118.883735 rupiah
219,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-25 adalah senilai 28664.006266 rupiah
220,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-26 adalah senilai 368637.129700 rupiah
221,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-27 adalah senilai 607337.801900 rupiah
222,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-28 adalah senilai 536749.358612 rupiah
223,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-29 adalah senilai 53013.461998 rupiah
224,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-30 adalah senilai 282307.873529 rupiah
225,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-31 adalah senilai 13119195.012469 rupiah
226,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-32 adalah senilai 2483962.420413 rupiah
227,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-33 adalah senilai 17040924.753754 rupiah
228,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-34 adalah senilai 0.000000 rupiah
229,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-35 adalah senilai 3444492.951448 rupiah
230,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-36 adalah senilai 336640.100544 rupiah
231,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-37 adalah senilai 68742.922279 rupiah
232,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-38 adalah senilai 995669.684804 rupiah
233,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-39 adalah senilai 402782.705866 rupiah
234,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-40 adalah senilai 273752.452143 rupiah
235,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-41 adalah senilai 2880711.821873 rupiah
236,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-42 adalah senilai 3375741.208853 rupiah
237,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-43 adalah senilai 2638680.947938 rupiah
238,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-44 adalah senilai 84162.915948 rupiah
239,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-45 adalah senilai 131562.290863 rupiah
240,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-46 adalah senilai 30754.641629 rupiah
241,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-47 adalah senilai 7387446.602242 rupiah
242,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-48 adalah senilai 1608122.744025 rupiah
243,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-49 adalah senilai 13346851.322275 rupiah
244,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-50 adalah senilai 7676180.886243 rupiah
245,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-51 adalah senilai 2927881.291598 rupiah
246,Total PDRB Provinsi Aceh yang berasal dari kode komponen I-52 adalah senilai 2567823.679888 rupiah
247,Total PDRB Provinsi Bali yang berasal dari kode komponen 2010 adalah senilai 81563745.842651 rupiah
248,Total PDRB Provinsi Bali yang berasal dari kode komponen 2020 adalah senilai 110475746.474779 rupiah
249,Total PDRB Provinsi Bali yang berasal dari kode komponen 2045 adalah senilai 787017.273402 rupiah
250,Total PDRB Provinsi Bali yang berasal dari kode komponen 3011 adalah senilai 105441153.712123 rupiah
251,Total PDRB Provinsi Bali yang berasal dari kode komponen 3012 adalah senilai 2407213.445181 rupiah
252,Total PDRB Provinsi Bali yang berasal dari kode komponen 3020 adalah senilai 19887252.174163 rupiah
253,Total PDRB Provinsi Bali yang berasal dari kode komponen 3030 adalah senilai 69063352.929629 rupiah
254,Total PDRB Provinsi Bali yang berasal dari kode komponen 3041 adalah senilai 1162800.123364 rupiah
255,Total PDRB Provinsi Bali yang berasal dari kode komponen I-01 adalah senilai 2902450.754464 rupiah
256,Total PDRB Provinsi Bali yang berasal dari kode komponen I-02 adalah senilai 4492158.585258 rupiah
257,Total PDRB Provinsi Bali yang berasal dari kode komponen I-03 adalah senilai 1941340.575063 rupiah
258,Total PDRB Provinsi Bali yang berasal dari kode komponen I-04 adalah senilai 6474587.007914 rupiah
259,Total PDRB Provinsi Bali yang berasal dari kode komponen I-05 adalah senilai 321127.853973 rupiah
260,Total PDRB Provinsi Bali yang berasal dari kode komponen I-06 adalah senilai 265886.303944 rupiah
261,Total PDRB Provinsi Bali yang berasal dari kode komponen I-07 adalah senilai 2174716.788560 rupiah
262,Total PDRB Provinsi Bali yang berasal dari kode komponen I-08 adalah senilai 0.000000 rupiah
263,Total PDRB Provinsi Bali yang berasal dari kode komponen I-09 adalah senilai 0.000000 rupiah
264,Total PDRB Provinsi Bali yang berasal dari kode komponen I-10 adalah senilai 0.000000 rupiah
265,Total PDRB Provinsi Bali yang berasal dari kode komponen I-11 adalah senilai 2048630.588175 rupiah
266,Total PDRB Provinsi Bali yang berasal dari kode komponen I-12 adalah senilai 0.000000 rupiah
267,Total PDRB Provinsi Bali yang berasal dari kode komponen I-13 adalah senilai 3097916.342919 rupiah
268,Total PDRB Provinsi Bali yang berasal dari kode komponen I-14 adalah senilai 19038.040915 rupiah
269,Total PDRB Provinsi Bali yang berasal dari kode komponen I-15 adalah senilai 1324070.579459 rupiah
270,Total PDRB Provinsi Bali yang berasal dari kode komponen I-16 adalah senilai 488788.779353 rupiah
271,Total PDRB Provinsi Bali yang berasal dari kode komponen I-17 adalah senilai 1680046.020398 rupiah
272,Total PDRB Provinsi Bali yang berasal dari kode komponen I-18 adalah senilai 381768.108384 rupiah
273,Total PDRB Provinsi Bali yang berasal dari kode komponen I-19 adalah senilai 100321.108973 rupiah
274,Total PDRB Provinsi Bali yang berasal dari kode komponen I-20 adalah senilai 54096.027963 rupiah
275,Total PDRB Provinsi Bali yang berasal dari kode komponen I-21 adalah senilai 827061.558374 rupiah
276,Total PDRB Provinsi Bali yang berasal dari kode komponen I-22 adalah senilai 0.000000 rupiah
277,Total PDRB Provinsi Bali yang berasal dari kode komponen I-23 adalah senilai 298527.293475 rupiah
278,Total PDRB Provinsi Bali yang berasal dari kode komponen I-24 adalah senilai 6911.914299 rupiah
279,Total PDRB Provinsi Bali yang berasal dari kode komponen I-25 adalah senilai 13326.128872 rupiah
280,Total PDRB Provinsi Bali yang berasal dari kode komponen I-26 adalah senilai 663232.023411 rupiah
281,Total PDRB Provinsi Bali yang berasal dari kode komponen I-27 adalah senilai 2851340.003569 rupiah
282,Total PDRB Provinsi Bali yang berasal dari kode komponen I-28 adalah senilai 484949.139903 rupiah
283,Total PDRB Provinsi Bali yang berasal dari kode komponen I-29 adalah senilai 7805.079259 rupiah
284,Total PDRB Provinsi Bali yang berasal dari kode komponen I-30 adalah senilai 546899.859849 rupiah
285,Total PDRB Provinsi Bali yang berasal dari kode komponen I-31 adalah senilai 16128279.036372 rupiah
286,Total PDRB Provinsi Bali yang berasal dari kode komponen I-32 adalah senilai 5404113.465045 rupiah
287,Total PDRB Provinsi Bali yang berasal dari kode komponen I-33 adalah senilai 14333350.565646 rupiah
288,Total PDRB Provinsi Bali yang berasal dari kode komponen I-34 adalah senilai 0.000000 rupiah
289,Total PDRB Provinsi Bali yang berasal dari kode komponen I-35 adalah senilai 3407886.932123 rupiah
290,Total PDRB Provinsi Bali yang berasal dari kode komponen I-36 adalah senilai 198385.064701 rupiah
291,Total PDRB Provinsi Bali yang berasal dari kode komponen I-37 adalah senilai 1168116.416913 rupiah
292,Total PDRB Provinsi Bali yang berasal dari kode komponen I-38 adalah senilai 11515774.336195 rupiah
293,Total PDRB Provinsi Bali yang berasal dari kode komponen I-39 adalah senilai 2365135.128740 rupiah
294,Total PDRB Provinsi Bali yang berasal dari kode komponen I-40 adalah senilai 26989285.894934 rupiah
